SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000007923.15	123	37	74	61	70	42	111	74	26	39	32	36	34	58	42	21
ENSG00000228750.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284744.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237436.1	2	0	0	1	1	0	2	1	0	1	0	0	0	0	0	0
ENSG00000171735.18	55	12	21	20	27	12	43	22	7	17	10	8	11	8	20	13
ENSG00000227950.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237402.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237728.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225126.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270171.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000270035.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000269978.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049245.12	158	72	159	113	310	137	254	215	105	161	135	110	110	121	197	119
ENSG00000269925.1	5	1	2	2	4	2	8	4	2	2	1	0	1	4	1	0
ENSG00000049246.14	17	9	15	11	23	12	23	6	2	6	8	3	5	3	5	0
ENSG00000236266.1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0
ENSG00000049247.13	15	0	1	1	2	0	3	19	1	0	3	1	0	1	1	0
ENSG00000049249.8	28	2	21	23	53	23	53	12	50	19	21	37	22	17	29	7
ENSG00000270330.1	0	0	0	0	0	1	1	0	0	2	0	0	3	1	0	0
ENSG00000116288.12	171	90	120	103	179	104	193	164	65	131	52	62	64	72	106	77
ENSG00000200344.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284747.1	2	1	4	1	4	2	3	2	0	2	0	2	0	2	4	0
ENSG00000284716.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116285.12	1	0	1	2	1	0	2	1	0	0	1	0	0	0	0	1
ENSG00000238290.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000232848.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000229305.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227634.2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ENSG00000200975.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426.14	4	0	2	1	0	1	0	1	1	0	1	1	0	2	1	0
ENSG00000252254.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142599.17	451	160	386	250	537	267	542	325	260	318	389	377	348	397	247	188
ENSG00000232912.5	15	5	11	7	20	4	21	12	11	19	13	3	11	11	8	10
ENSG00000221083.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000270282.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234619.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224315.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000222511.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226545.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228423.2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000229716.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000074800.15	1183	408	761	629	1242	891	866	910	455	1162	455	564	528	663	1012	488
ENSG00000274258.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230679.1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0
ENSG00000201725.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238249.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232208.2	1	2	4	6	0	7	5	3	0	0	0	1	1	1	1	1
ENSG00000232663.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131686.14	4	0	0	0	0	1	4	1	0	0	0	0	0	0	2	0
ENSG00000265141.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197241.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000142583.17	9	6	9	2	7	3	8	3	1	33	0	8	2	1	6	5
ENSG00000252404.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758.11	19	10	18	12	27	6	34	21	6	9	8	8	12	14	10	13
ENSG00000228526.7	4	0	0	0	9	3	5	3	1	5	0	0	0	0	5	0
ENSG00000284357.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
